ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 279;omp-cloverleaf;calc_dt.cpp:53-77,calc_dt.cpp:90-90,context.h:46-46,context.h:69-69;calc_dt_kernel(int, int, int, int, double, double, double, double, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, double&, int&, double&, double&, int&, int&, int&) [clone ._omp_fn.0];Innermost;1.634997010231;1.6237720251083;6.3979034423828;1.00;1.00;1.84 - 1.77;1.87 - 1.77;1;52.84;58.09;213.00;213.00;213.00;116.00 - 120.00;114.00 - 120.00
Loop 236;omp-cloverleaf;context.h:46-46,context.h:69-69,advec_cell.cpp:163-163,advec_cell.cpp:174-202;advec_cell_kernel(int, int, int, int, int, int, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.6];Innermost;1.3649983406067;1.3418154716492;5.2869529724121;1.05;1.00;1.37;3.05;1;65.65;65.11;146.50;139.25;146.50;106.76;48.00
Loop 355;omp-cloverleaf;PdV.cpp:72-83;PdV_kernel(bool, int, int, int, int, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.1];Innermost;1.3499999046326;1.2587405443192;4.9596252441406;1.00;1.00;1.00;1.00;1;100.00;100.00;24.00;24.00;24.00;24.00;24.00
Loop 216;omp-cloverleaf;accelerate.cpp:43-53;accelerate_kernel(int, int, int, int, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Innermost;1.1050001382828;1.0648945569992;4.1958432197571;1.38;1.00;1.00;1.96;1;100.00;100.00;25.50;18.50;25.50;25.50;13.00
Loop 262;omp-cloverleaf;advec_mom.cpp:180-180,advec_mom.cpp:186-211,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.10];Innermost;1.0049999952316;0.99692261219025;3.9280235767365;1.44;2.12;2.88;2.16;6;15.79;28.95;17.25;12.00;8.14;6.00;8.00
Loop 683;omp-cloverleaf;context.h:69-69,viscosity.cpp:39-49,viscosity.cpp:55-55,viscosity.cpp:62-74;viscosity_kernel(int, int, int, int, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Innermost;0.98500001430511;0.96167784929276;3.7891540527344;1.00;1.00;1.00;1.00;1;94.74;96.05;81.00 - 84.00;81.00 - 84.00;81.00 - 84.00;81.00 - 84.00;81.00 - 84.00
Loop 233;omp-cloverleaf;stl_algobase.h:238-238,context.h:69-69,advec_cell.cpp:71-72,advec_cell.cpp:79-110;advec_cell_kernel(int, int, int, int, int, int, clover::Buffer1D<double>&, clover::Buffer1D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.2];Innermost;0.97000002861023;0.94279676675797;3.7147595882416;1.15;1.00;1.37;2.29;1;57.91;61.70;110.00;96.00;110.00;80.09;48.00
Loop 353;omp-cloverleaf;PdV.cpp:51-63;PdV_kernel(bool, int, int, int, int, double, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Innermost;0.93500000238419;0.92013943195343;3.6254863739014;1.00;1.00;1.00;1.00;1;100.00;100.00;24.00;24.00;24.00;24.00;24.00
Loop 306;omp-cloverleaf;ideal_gas.cpp:40-45;ideal_gas_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&) [clone ._omp_fn.0];Innermost;0.88499999046326;0.83076882362366;3.2733528614044;1.00;1.00;1.00;1.00;1;100.00;100.00;68.00 - 80.00;68.00 - 80.00;68.00 - 80.00;68.00 - 80.00;68.00 - 80.00
Loop 259;omp-cloverleaf;advec_mom.cpp:108-108,advec_mom.cpp:114-139,context.h:69-69;advec_mom_kernel(int, int, int, int, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer2D<double>&, clover::Buffer1D<double>&, clover::Buffer1D<double>&, int, int, int) [clone ._omp_fn.6];Innermost;0.82499998807907;0.79678279161453;3.1394429206848;1.26;2.06;2.46;1.84;6;16.67;29.17;14.75;11.75;7.15;6.00;8.00
