group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VMOVSD,VMOVSD,;0,0,;0x327ab,0x32a71,;Not found;0;Success;16;8;8;8;0;2;
2;LL;VMOVUPD,VMOVUPD,;32,0,;0x32495,0x3249c,;Success;64;Success;64;64;0;64;64;2;
1;L;VMOVSD,;0,;0x32af8,;Not found;0;Success;8;8;0;8;0;1;
2;LL;VMOVSD,VMOVSD,;0,0,;0x3278d,0x32a6c,;Not found;0;Success;16;8;8;8;0;2;
2;LL;VMOVSD,VMOVSD,;0,0,;0x327c5,0x32a9a,;Not found;0;Success;16;8;8;8;0;2;
8;LLLLLLLL;VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,;0,0,0,0,0,0,0,0,;0x3265f,0x32689,0x3269f,0x326af,0x32ad7,0x32b15,0x32b55,0x32b5b,;Indirect;0;Success;64;8;56;8;0;8;
1;L;VMOVSD,;0,;0x32679,;Success;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x32af3,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x32ab3,;Not found;0;Success;8;8;0;8;0;1;
2;SS;VMOVUPD,VMOVUPD,;32,0,;0x32a56,0x32a66,;Success;64;Success;64;64;0;64;64;2;
24;LLLLLLLLLLLLLLLLLLLLLLLL;VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,VMOVHPD,;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;0x327b0,0x327bf,0x327f5,0x3280c,0x32830,0x32867,0x32885,0x3288b,0x328a1,0x328c5,0x328db,0x328ff,0x32914,0x32934,0x32939,0x3293f,0x32956,0x3295c,0x32970,0x32976,0x32a86,0x32a8c,0x32ac9,0x32ae5,;Indirect;0;Success;192;8;184;8;0;1;
1;L;VMOVSD,;0,;0x3268e,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x32664,;Not found;0;Success;8;8;0;8;0;1;
24;LLLLLLLLLLLLLLLLLLLLLLLL;VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVSD,VMOVSD,VMOVHPD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVHPD,VMOVSD,VMOVSD,VMOVHPD,VMOVHPD,VMOVHPD,;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;0x32b0e,0x32b29,0x32b4e,0x32b61,0x32b85,0x32b8c,0x32bb3,0x32bba,0x32bc1,0x32bd0,0x32be7,0x32bee,0x32c03,0x32c0a,0x32c1f,0x32c2e,0x32c39,0x32c48,0x32c4f,0x32c56,0x32c5d,0x32c6a,0x32c90,0x32c97,;Indirect;0;Success;192;8;184;8;0;1;
10;LLLLLLLLLL;VPADDD,VBROADCASTSD,VBLENDVPD,VBLENDVPD,VMULPD,VMULPD,VBLENDVPD,VBLENDVPD,VMULPD,VMULPD,;253575,259936,252408,252370,252322,252314,251604,251562,251538,251512,;0x324b1,0x3277f,0x3299e,0x329c4,0x32a16,0x32a1e,0x32cc2,0x32cec,0x32d26,0x32d40,;RIP based value;0;Success;296;258;38;8432;0;1;
2;LL;VMOVUPD,VMOVUPD,;0,32,;0x326f1,0x32742,;Success;64;Success;64;64;0;64;64;2;
1;L;VMOVSD,;0,;0x32651,;Not found;0;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x32b38,;Not found;0;Success;8;8;0;8;0;1;
2;SS;VMOVUPD,VMOVUPD,;0,32,;0x32d9c,0x32db5,;Success;64;Success;64;64;0;64;64;2;
112;LLLLLSLSSSSSLSSSSLLLSLSLSSSLSLLLLSSLLSLSSLSSSLSLLSSLSLSLSSSLSLSLLSLLLLLSLLLLLSLLLSLLSLLSLLLLLLLLLLLLLLLLLLLLLLLL;VMOVDQA,MOV,VPADDD,VPADDD,VPADDD,VMOVAPD,VPMINSD,VMOVAPD,VMOVDQA,VPEXTRQ,VMOVQ,VPEXTRQ,MOV,VPEXTRQ,MOV,VPEXTRQ,MOV,MOV,MOV,VANDPD,MOV,MOV,MOV,MOV,VMOVQ,VMOVQ,VMOVQ,MOV,MOV,MOV,VANDPD,MOV,MOV,VMOVAPD,VMOVAPD,MOV,MOV,VMOVAPD,MOV,VMOVQ,VPEXTRQ,MOV,VMOVQ,VPEXTRQ,VMOVQ,MOV,VPEXTRQ,MOV,MOV,MOV,VPEXTRQ,MOV,VPEXTRQ,MOV,VPEXTRQ,MOV,MOV,VPEXTRQ,VPEXTRQ,MOV,VMOVAPD,MOV,VMOVAPD,MOV,MOV,VMOVAPD,VFMADD231PD,VMULPD,VFMADD231PD,VMULPD,VMULPD,VMOVAPD,MOV,MOV,MOV,MOV,MOV,VMOVAPD,MOV,MOV,MOV,VMOVAPD,MOV,MOV,VMOVAPD,MOV,MOV,VMOVAPD,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,VMULPD,VMULPD,VFMADD231PD,VFMADD231PD,VMOVAPD,VMULPD,VMOVAPD,VMOVAPD,VMULPD,CMP,;512,320,192,224,256,608,160,640,512,896,400,864,864,832,816,768,744,832,768,640,736,896,560,744,544,408,392,736,552,312,608,336,832,768,704,864,816,672,896,600,816,816,592,808,384,600,800,808,800,768,760,760,752,592,576,752,376,584,568,584,448,568,480,576,304,416,672,416,704,608,640,640,832,864,744,768,896,864,736,560,408,832,552,544,768,896,392,896,400,384,600,816,376,808,592,760,800,584,752,568,576,296,448,480,672,704,768,864,896,640,832,328,;0x32480,0x32489,0x324a8,0x324b9,0x324c7,0x324d0,0x324d9,0x324ee,0x324f7,0x3252f,0x3254c,0x32576,0x32595,0x325b0,0x325c7,0x325e2,0x325ed,0x325f5,0x32604,0x3260c,0x32615,0x32621,0x32629,0x32637,0x3263f,0x32648,0x32656,0x32669,0x32671,0x32681,0x326b4,0x326bd,0x32749,0x32751,0x3275a,0x32769,0x32771,0x327b6,0x327c9,0x327db,0x327e4,0x327fb,0x32803,0x32816,0x32821,0x32836,0x3283e,0x32849,0x32857,0x3285f,0x32872,0x3287d,0x32891,0x328a6,0x328ae,0x328cb,0x328d3,0x328ef,0x32909,0x3291f,0x32927,0x32945,0x3294d,0x32962,0x32980,0x329a8,0x329ec,0x329fa,0x32a08,0x32a3e,0x32a4d,0x32a5d,0x32a76,0x32a7e,0x32a92,0x32aa1,0x32ab8,0x32ac0,0x32acf,0x32add,0x32afd,0x32b05,0x32b1b,0x32b30,0x32b3d,0x32b46,0x32b68,0x32b76,0x32b93,0x32b9b,0x32ba3,0x32bab,0x32bc8,0x32bd7,0x32bdf,0x32bf5,0x32c11,0x32c26,0x32c40,0x32c71,0x32c79,0x32ccc,0x32cdd,0x32cfb,0x32d0a,0x32d18,0x32d32,0x32d4d,0x32d5e,0x32d6c,0x32d75,0x32dc0,;Success;0;Success;1736;720;1016;768;0;1;
2;LL;VMOVSD,VMOVSD,;0,0,;0x327d7,0x32aa9,;Not found;0;Success;16;8;8;8;0;2;
8;LLLLLLLL;VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,VMOVSD,VMOVHPD,;0,0,0,0,0,0,0,0,;0x326dc,0x326e1,0x326eb,0x326fc,0x3271f,0x3272d,0x3273c,0x32763,;Indirect;0;Success;64;8;56;8;0;1;
